MOL,Id,nvx,nrings,ncirc,nelem,fw,x0,x1,x2,x3p,x4p,x5p,x6p,x7p,x8p, x9p,x10p,x0v,x1v,x2v,x3pv,x4pv,x5pv,x6pv,x7pv,x8pv,x9pv,x10pv,x3c,x4c,x4pc, x3ch,x4ch,x5ch,x6ch,x7ch,x8ch,x9ch,x10ch,x3cv,x4cv,x4pcv,x3chv,x4chv,x5chv, x6chv,x7chv,x8chv,x9chv,x10chv,dx0,dx1,dx2,dx3p,dx4p,dx5p,dx6p,dx7p,dx8p,dx9p, dx10p,dx0v,dx1v,dx2v,dx3pv,dx4pv,dx5pv,dx6pv,dx7pv,dx8pv,dx9pv,dx10pv,k0,k1, k2,k3,ka3,ka4,shind,totop,sumI,sumde1I,tets2,phia,ntype66,e1,e2,e3,e4,e5,e6, e7,e8,e9,e10,e11,e12,e13,e14, e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33, e34,e35,e36,e37,e38,e39,e40,e41,e42,e43,e44,e45,e46,e47,e48,e49,e50,e51,e52, e53,e54,e55,e56,e57,e58,e59,e60,e61,e62,e63,e64,e65,e66,e67,e68,e69,e70,e71, e72,e73,e74,e75,e76,e77,e78,e79,e80,e81,e82,e83,e84,e85,e86,e87,e88,e89,e90, e91,e92,e93,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18, c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37, c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56, c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75, c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93, idW,idW2,idC,idC2, W,Wp,Pf,Wt,knotp,knotpv,nclasss,numhbd,numbba,nx1p,nx2p,nx3p,nx4p,nx5p,nx6p, nx7p,nx8p,nx9p,nx10p,nx3c,nx4c,nx4pc,nx3ch,nx4ch,nx5ch,nx6ch,nx7ch,nx8ch, nx9ch,nx10ch,ntpath,tg,tg3,tm,tm3,diam,muldiam,rad,mulrad,ishape,na1, na2,na3,na4,na5,na6,na7,na8,na9,na10,na11,na12,na13,na14,na15,na16,na17,na18, na19,na20,na21,na22,na23,na24,na25,na26,na27,na28,na29,na30,na31,na32,na33, na34,na35, na36,na37,na38,na39,na40,na41,na42,na43,na44,na45,na46,na47,na48,na49,na50, na51,na52,na53,na54,na55,na56,na57,na58,na59,na60,na61,na62,na63,na64,na65, na66,na67,na68,na69,na70,na71,na72,nd1,nd2,nd3,nd4,nd5,nd6,nt11,nt12,nt13, nt14,nt15,nt16,nt22,nt23,nt24,nt25,nt26,nt33,nt34,nt35,nt36,nt44,nt45,nt46, nt55,nt56,nt66,n2p11,n2p12,n2p13,n2p14,n2p15,n2p16,n2p22,n2p23,n2p24,n2p25, n2p26,n2p33,n2p34,n2p35,n2p36,n2p44,n2p45,n2p46,n2p55,n2p56,n2p66,n3p11,n3p12, n3p13,n3p14,n3p15,n3p16,n3p22,n3p23,n3p24,n3p25,n3p26,n3p33,n3p34,n3p35,n3p36, n3p44,n3p45,n3p46,n3p55,n3p56,n3p66,n4p11,n4p12,n4p13,n4p14,n4p15,n4p16,n4p22, n4p23,n4p24,n4p25,n4p26,n4p33,n4p34,n4p35,n4p36,n4p44,n4p45,n4p46,n4p55,n4p56, n4p66
11,11,5,1,1,3,68.075,3.5355,2.5,1.7678,1.25,0.8839,0,0,0,0,0,0,2.7176,1.4714,0.7931,0.4254,0.2268,0,0,0,0,0,0,0,0,0,0,0,0.1768,0,0,0,0,0,0,0,0,0,0,0.0454,0,0,0,0,0,-0.5858,0.0858,0.4142,0.5429,0.5303,0,0,0,0,0,0,-1.5926,-0.9798,-0.5182,-0.2036,-0.007,0,0,0,0,0,0,2.2907,3.2,1.44,0.64,2.6652,1.0389,0.3618,0.4581,26.06653,11.5,1.08333,4.94193,0.5538,0,0,0,0,0,0,1.6,0,0.5,4.5833,0,1.625,11.5,0,0,0,0,0,0,0,0,0,0,0,0,6.9167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.603,3.24,10,1,15,5,10,50,0,0,2,0,1,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0,0,2,5,2,5,0,4,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,5,1,1,3,67.09,3.5355,2.5,1.7678,1.25,0.8839,0,0,0,0,0,0,2.8094,1.5774,0.8849,0.496,0.2778,0,0,0,0,0,0,0,0,0,0,0,0.1768,0,0,0,0,0,0,0,0,0,0,0.0556,0,0,0,0,0,-0.5858,0.0858,0.4142,0.5429,0.5303,0,0,0,0,0,0,-1.3194,-0.8005,-0.4135,-0.1513,0.0115,0,0,0,0,0,0,2.2907,3.2,1.44,0.64,2.6652,1.0389,0.3618,0.4581,23.37832,10.5,0.36111,4.81271,0.5538,0,0,0,0,1.8167,0,3.1833,0,1.8167,2.8611,0.775,1.875,10.5,0,0,0,0,0,0,0,0,0,0,0,0,7.6389,0,0,0,0,0,0,0,0,0,0,0,0,2.8611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.603,3.24,10,1,15,5,10,50,0,0,2,1,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0,0,2,5,2,5,0,5,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,14,3,6,2,178.233,9.3805,6.9327,6.0806,5.344,4.5879,4.0525,2.5729,1.8692,1.361,0.9235,0.3987,7.7735,4.8094,3.5465,2.614,1.8826,1.3882,0.7348,0.4421,0.2659,0.1491,0.0523,0.6667,0,1.7991,0,0,0,0.2222,0,0,0,0.0278,0.3333,0,0.744,0,0,0,0.0764,0,0,0,0.0046,-1.1048,0.0184,1.5451,2.3869,2.6736,2.8239,1.7926,1.38,1.0593,0.7856,0.3232,-2.7118,-2.1048,-0.989,-0.3431,-0.0316,0.1596,-0.0455,-0.0472,-0.0358,-0.033,-0.0544,8.219,9.2422,3.8678,1.76,7.5714,2.8451,1.198,0.5871,98.08846,26.66667,1.42148,27.34691,1.5387,0,0,0,0,0,0,3.48,0,0.4725,2.2407,0,1.3113,26.6667,0,0,0,0,0,0,0,0,0,0,0,0,21.4215,0,0,0,0,0,5.2452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1762.319,6.317,233.831,2.57,279,30,44,3516,-0.867553,-0.5893164,7,0,0,16,22,30,40,54,52,56,60,60,36,4,0,16,0,0,0,3,0,0,0,2,498,0,0,0,0,7,4,4,2,0.75,10,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,6,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,24,0,0,0,2,0,0,0,0,0,0,0,0,0
14,14,10,2,3,2,128.173,6.8116,4.9663,4.0891,3.4663,2.8576,2.3165,1.1401,0.7041,0.4257,0.25,0,5.6188,3.4047,2.3472,1.6587,1.1329,0.7566,0.3036,0.1539,0.0765,0.037,0,0.3333,0,0.9428,0,0,0,0.1667,0,0,0,0.0208,0.1667,0,0.3849,0,0,0,0.0556,0,0,0,0.0031,-0.8453,0.0521,0.9678,1.5092,1.6505,1.5879,0.7133,0.4648,0.3007,0.1875,0,-2.0381,-1.5095,-0.7742,-0.2984,-0.0742,0.028,-0.1232,-0.0854,-0.0485,-0.0201,0,4.5815,6.6942,2.9388,1.3827,5.4822,2.1431,0.9175,0.4581,57.98069,19.33333,0.71296,14.56859,1.1749,0,0,0,0,0,0,4.65,0,0.6375,2.1204,0,1.3102,19.3333,0,0,0,0,0,0,0,0,0,0,0,0,16.713,0,0,0,0,0,2.6204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581.454,5.334,95.247,2.117,109,18,28,751,-0.3905244,-0.2817665,5,0,0,11,14,18,22,26,18,16,14,12,0,2,0,8,0,0,0,2,0,0,0,1,151,0,0,0,0,5,4,3,2,0.667,8,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,6,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,9,1,1,4,121.138,6.6902,4.3045,3.6421,2.5926,1.8008,1.2504,0.4512,0.2357,0,0,0,4.8723,2.6535,1.7303,1.0583,0.6024,0.3428,0.0868,0.0316,0,0,0,0.5,0,1.0404,0,0,0,0.1021,0,0,0,0,0.1423,0,0.2464,0,0,0,0.0321,0,0,0,0,-0.2595,-0.1097,0.8743,0.8855,0.7705,0.6469,0.1128,0.0589,-0.0884,0,0,-2.6084,-2.0607,-1.1962,-0.7232,-0.4538,-0.2602,-0.2378,-0.126,0,0,0,7.3841,7.1111,3.2397,2,5.9774,2.4162,1.3687,0.8205,49.99175,24.33333,5.12194,7.25188,1.6047,0,0,0,0.1083,0,0,1.2092,0,0.4142,10.4231,0,-0.3791,24.7124,-0.3791,0,0,0,0,0,0,0,0,0,0,0,8.7612,0,0,0,-0.3791,0.5532,0,0,0,4.9748,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440.417,5.005,77.395,2.15,88,12,22,239,-0.2928933,-0.2047848,5,2,2,9,11,12,12,12,6,4,0,0,0,2,0,6,0,0,0,1,0,0,0,0,66,2,0,0,0,5,3,3,3,0.667,7,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,0,0,0,0,0,2,0,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,7,1,1,3,204.01,5.1129,3.3938,2.7432,1.8938,1.3067,0.901,0.2041,0,0,0,0,5.9222,3.1784,2.5412,1.4523,0.8299,0.4742,0.1627,0,0,0,0,0.2887,0,0.4082,0,0,0,0.1021,0,0,0,0,0.4226,0,0.488,0,0,0,0.0321,0,0,0,0,-0.4226,-0.0204,0.6825,0.6867,0.6299,0.5475,0.0273,0,0,0,0,-0.5592,-0.8329,0.109,0.0183,0.0181,0.0431,-0.0411,0,0,0,0,4.7116,5.1429,2.3438,1.5,5.0939,2.3067,1.4688,0.6731,29.44341,13.78667,0.42137,7.00733,1.6786,0,0,0,0,0,0,3.0362,0,0.6995,2.2798,0,1.2918,13.7867,0,0,0,0,0,0,0,0,0,0,0,0,10.2151,0,0,0,0,1.2918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2798,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,178.703,4.255,36.978,1.761,42,8,16,131,-0.169102,-0.3572042,4,0,0,7,8,8,8,8,2,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,41,1,0,0,0,4,2,3,5,0.333,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,7,1,1,3,157.009,5.1129,3.3938,2.7432,1.8938,1.3067,0.901,0.2041,0,0,0,0,5.3507,2.8927,2.2112,1.2618,0.7199,0.4107,0.126,0,0,0,0,0.2887,0,0.4082,0,0,0,0.1021,0,0,0,0,0.3273,0,0.378,0,0,0,0.0321,0,0,0,0,-0.4226,-0.0204,0.6825,0.6867,0.6299,0.5475,0.0273,0,0,0,0,-0.7283,-0.868,-0.0676,-0.0806,-0.0391,0.0084,-0.0633,0,0,0,0,4.7116,5.1429,2.3438,1.5,4.8493,2.1237,1.3161,0.6731,29.71243,14.41667,0.82282,6.8957,1.4712,0,0,0,0,0,0,1.885,0.9667,0.6725,3.3112,0,1.1343,14.4167,0,0,0,0,0,0,0,0,0,0,0,0,9.9712,0,0,0,0,1.1343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,178.703,4.255,36.978,1.761,42,8,16,131,-0.169102,-0.2766892,4,0,0,7,8,8,8,8,2,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,41,1,0,0,0,4,2,3,5,0.333,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,7,1,1,3,112.558,5.1129,3.3938,2.7432,1.8938,1.3067,0.901,0.2041,0,0,0,0,4.5206,2.4776,1.732,0.9851,0.5601,0.3184,0.0727,0,0,0,0,0.2887,0,0.4082,0,0,0,0.1021,0,0,0,0,0.189,0,0.2182,0,0,0,0.0321,0,0,0,0,-0.4226,-0.0204,0.6825,0.6867,0.6299,0.5475,0.0273,0,0,0,0,-1.0631,-0.9693,-0.3508,-0.237,-0.1267,-0.0419,-0.0934,0,0,0,0,4.7116,5.1429,2.3438,1.5,4.6636,1.9871,1.2036,0.6731,30.70677,15.77778,1.69015,6.45443,1.3239,0,0,0,0,0,0,1.6809,0.7723,0.6142,5.5397,0,0.794,15.7778,0,0,0,0,0,0,0,0,0,0,0,0,9.4441,0,0,0,0,0.794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.703,4.255,36.978,1.761,42,8,16,131,-0.169102,-0.1597466,4,0,1,7,8,8,8,8,2,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,41,1,0,0,0,4,2,3,5,0.333,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,7,1,1,3,96.104,5.1129,3.3938,2.7432,1.8938,1.3067,0.901,0.2041,0,0,0,0,3.7647,2.0997,1.2956,0.7331,0.4147,0.2344,0.0242,0,0,0,0,0.2887,0,0.4082,0,0,0,0.1021,0,0,0,0,0.063,0,0.0727,0,0,0,0.0321,0,0,0,0,-0.4226,-0.0204,0.6825,0.6867,0.6299,0.5475,0.0273,0,0,0,0,-2.4475,-1.6722,-0.9326,-0.532,-0.2604,-0.0877,-0.0938,0,0,0,0,4.7116,5.1429,2.3438,1.5,4.3126,1.735,0.9996,0.6731,38.73438,19.66667,4.16824,4.69683,1.0689,0,0,0,0,0,0,1.0975,0.2167,0.4475,11.9067,0,-0.1782,19.8449,-0.1782,0,0,0,0,0,0,0,0,0,0,0,7.9382,0,0,0,0,-0.1782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.703,4.255,36.978,1.761,42,8,16,131,-0.169102,-0.0532489,4,0,1,7,8,8,8,8,2,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,41,1,0,0,0,4,2,3,5,0.333,5,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,9,1,1,4,123.111,6.6902,4.3045,3.6421,2.5926,1.8008,1.2504,0.4512,0.2357,0,0,0,4.6505,2.4994,1.5927,0.967,0.5497,0.3124,0.0693,0.0234,0,0,0,0.5,0,1.0404,0,0,0,0.1021,0,0,0,0,0.1118,0,0.19,0,0,0,0.0321,0,0,0,0,-0.2595,-0.1097,0.8743,0.8855,0.7705,0.6469,0.1128,0.0589,-0.0884,0,0,-2.9806,-2.2934,-1.3699,-0.8263,-0.5051,-0.2827,-0.2449,-0.1233,0,0,0,6.782,7.1111,3.2397,2,5.9085,2.3681,1.3331,0.7536,55.50306,27.66667,6.35787,6.13868,1.5547,0,0,0,0,0,0,-0.4125,0,0.1642,10.0065,-0.2833,-0.4167,28.0833,-0.4167,0,0,0,0,0,0,0,0,0,0,0,7.9338,0,0,0,0,0.1366,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4167,0,0,0,20.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440.417,5.005,77.395,2.15,88,12,22,239,-0.2928932,-0.1827205,5,0,2,9,11,12,12,12,6,4,0,0,0,2,0,6,0,0,0,1,0,0,0,0,66,2,0,0,0,5,3,3,3,0.667,5,0,0,0,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,0,0,0,0,0,2,0,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
